G1;G2;G3;G4;y;Sala
-63;-64;-61;-67;1;Banheiro
-64;-55;-58;-67;1;Banheiro
-63;-55;-58;-59;1;Banheiro
-63;-57;-62;-59;1;Banheiro
-63;-57;-62;-60;1;Banheiro
-64;-57;-61;-60;1;Banheiro
-63;-57;-61;-61;1;Banheiro
-69;-56;-58;-61;1;Banheiro
-69;-56;-58;-60;1;Banheiro
-66;-58;-57;-60;1;Banheiro
-67;-58;-57;-60;1;Banheiro
-67;-58;-61;-60;1;Banheiro
-67;-54;-61;-65;1;Banheiro
-67;-54;-66;-65;1;Banheiro
-67;-56;-66;-61;1;Banheiro
-66;-56;-63;-61;1;Banheiro
-67;-57;-63;-61;1;Banheiro
-67;-57;-64;-61;1;Banheiro
-67;-53;-64;-61;1;Banheiro
-67;-53;-60;-61;1;Banheiro
-67;-58;-60;-61;1;Banheiro
-67;-58;-62;-61;1;Banheiro
-67;-55;-62;-61;1;Banheiro
-67;-55;-62;-61;1;Banheiro
-67;-58;-61;-62;1;Banheiro
-67;-58;-61;-62;1;Banheiro
-67;-57;-65;-84;1;Banheiro
-66;-57;-65;-84;1;Banheiro
-66;-56;-55;-84;1;Banheiro
-70;-56;-55;-60;1;Banheiro
-70;-55;-65;-60;1;Banheiro
-69;-55;-65;-68;1;Banheiro
-69;-55;-58;-68;1;Banheiro
-67;-54;-58;-64;1;Banheiro
-67;-54;-64;-64;1;Banheiro
-67;-56;-64;-61;1;Banheiro
-72;-56;-62;-61;1;Banheiro
-72;-56;-62;-61;1;Banheiro
-70;-56;-62;-61;1;Banheiro
-70;-57;-62;-60;1;Banheiro
-66;-57;-62;-60;1;Banheiro
-66;-58;-61;-60;1;Banheiro
-66;-58;-63;-60;1;Banheiro
-66;-58;-58;-61;1;Banheiro
-66;-58;-58;-61;1;Banheiro
-68;-56;-59;-60;1;Banheiro
-68;-56;-59;-60;1;Banheiro
-68;-56;-61;-60;1;Banheiro
-68;-56;-61;-60;1;Banheiro
-70;-56;-57;-60;1;Banheiro
-70;-56;-57;-60;1;Banheiro
-67;-56;-62;-60;1;Banheiro
-69;-56;-62;-60;1;Banheiro
-69;-56;-60;-60;1;Banheiro
-69;-57;-60;-60;1;Banheiro
-69;-57;-59;-60;1;Banheiro
-67;-56;-59;-61;1;Banheiro
-67;-56;-60;-61;1;Banheiro
-66;-57;-60;-60;1;Banheiro
-70;-57;-57;-60;1;Banheiro
-70;-57;-57;-60;1;Banheiro
-69;-57;-60;-60;1;Banheiro
-69;-57;-60;-60;1;Banheiro
-69;-57;-60;-60;1;Banheiro
